contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
194,0,0,unlabeled,44,0,0,0,
195,0,0,unlabeled,44,0,0,0,
196,0,0,unlabeled,42,0,0,0,
197,0,0,unlabeled,41,0,0,0,
198,0,0,unlabeled,41,0,0,0,
199,0,0,unlabeled,40,0,0,0,
200,0,0,unlabeled,40,0,0,0,
201,0,0,unlabeled,40,0,0,0,
202,0,0,unlabeled,39,0,0,0,
203,0,0,unlabeled,38,0,0,0,
204,0,0,unlabeled,36,0,0,0,
205,0,0,unlabeled,36,0,0,0,
206,0,0,unlabeled,31,0,0,0,
207,0,0,unlabeled,31,0,0,0,
208,0,0,unlabeled,29,0,0,0,
209,0,0,unlabeled,29,0,0,0,
210,0,0,unlabeled,26,0,0,0,
211,0,0,unlabeled,26,0,0,0,
212,0,0,unlabeled,25,0,0,0,
213,0,0,unlabeled,24,0,0,0,
214,0,0,unlabeled,23,0,0,0,
215,0,0,unlabeled,20,0,0,0,
216,0,0,unlabeled,16,0,0,0,
217,0,0,unlabeled,15,0,0,0,
218,0,0,unlabeled,15,0,0,0,
219,0,0,unlabeled,15,0,0,0,
220,0,0,unlabeled,15,0,0,0,
221,0,0,unlabeled,14,0,0,0,
222,0,0,unlabeled,14,0,0,0,
223,0,0,unlabeled,10,0,0,0,
224,0,0,unlabeled,10,0,0,0,
225,0,0,unlabeled,10,0,0,0,
226,0,0,unlabeled,10,0,0,0,
227,0,0,unlabeled,9,0,0,0,
228,0,0,unlabeled,9,0,0,0,
229,0,0,unlabeled,9,0,0,0,
230,0,0,unlabeled,9,0,0,0,
231,0,0,unlabeled,9,0,0,0,
232,0,0,unlabeled,8,0,0,0,
233,0,0,unlabeled,8,0,0,0,
234,0,0,unlabeled,7,0,0,0,
235,0,0,unlabeled,7,0,0,0,
236,0,0,unlabeled,7,0,0,0,
237,0,0,unlabeled,7,0,0,0,
238,0,0,unlabeled,6,0,0,0,
239,0,0,unlabeled,6,0,0,0,
240,0,0,unlabeled,6,0,0,0,
241,0,0,unlabeled,5,0,0,0,
242,0,0,unlabeled,5,0,0,0,
243,0,0,unlabeled,4,0,0,0,
244,0,0,unlabeled,2,0,0,0,
245,0,0,unlabeled,2,0,0,0,
246,0,0,unlabeled,1,0,0,0,
247,0,0,unlabeled,1,0,0,0,
248,0,0,unlabeled,1,0,0,0,
249,0,0,unlabeled,1,0,0,0,
250,0,0,unlabeled,1,0,0,0,
251,0,0,unlabeled,1,0,0,0,
252,0,0,unlabeled,1,0,0,0,
253,0,0,unlabeled,1,0,0,0,
254,0,0,unlabeled,1,0,0,0,
255,0,0,unlabeled,1,0,0,0,
256,0,0,unlabeled,1,0,0,0,
257,0,0,unlabeled,1,0,0,0,
258,0,0,unlabeled,1,0,0,0,
259,0,0,unlabeled,1,0,0,0,
260,0,0,unlabeled,1,0,0,0,
